ISC 71-80,  Badadf,  Bgwkys,  Dxgxa,  Fuxtax,  Gfpumc,  Jhhm,  Jpow,  Kcax,  Kdkf,  Knrjuc,  Kskwi,  Kxxe,  Lwuzf,  Mvki,  Nepk,  Pdds,  Pndyf,  Qiqzn,  Snwid,  Sved,  Ucjm,  Udbgt,  Ukyq,  Wjrv,  Ynaysn,  Zfxe,  Zjmch,  Bmxhcu,  Sion,  Yrqqw,  Lzihpl,  Chienn,  Vugl,  Imkp,  Xxabu,  Quha,  Lxjh,  Vqahhq,  Dzct,  Rkfn,  Puycrw,  Zsvsib,  Wpruf,  Whuhqu,  Asmp,  Omoxmm,  Fwrtu,  Albfdc,  Ofnqni,  Mxkah,  Vcfpi,  Dwhr,  Vpnhw,  Fgmwbz,  Ldlszf
 Badadf, 0, 24.1964285714286, 30.9598214285714, 37.1763392857143, 27.6674107142857, 22.1316964285714, 23.0022321428571, 24.2410714285714, 22.3549107142857, 28.7946428571429, 19.5870535714286, 31.8415178571429, 27.3660714285714, 28.2589285714286, 35.2232142857143, 25.1674107142857, 31.1049107142857, 29.5982142857143, 27.6897321428571, 19.140625, 29.296875, 27.3660714285714, 26.0714285714286, 27.4888392857143, 27.9129464285714, 27.7232142857143, 32.4330357142857, 31.5401785714286, 24.2857142857143, 28.59375, 25.5803571428571, 27.6227678571429, 28.2924107142857, 32.7566964285714, 26.6294642857143, 24.8102678571429, 29.0401785714286, 23.1473214285714, 37.3214285714286, 29.5200892857143, 32.4776785714286, 28.2142857142857, 20.1897321428571, 30.3571428571429, 31.5401785714286, 28.2366071428572, 29.7879464285714, 34.7098214285714, 32.5892857142857, 25.4575892857143, 32.5223214285714, 28.9174107142857, 30.8035714285714, 31.3616071428571, 36.6741071428572
 Bgwkys, 0, 0, 25.1227678571429, 24.7321428571429, 18.9174107142857, 15.4352678571429, 22.1316964285714, 26.5513392857143, 25.0334821428571, 27.3995535714286, 25.6808035714286, 32.7120535714286, 30.6026785714286, 22.9464285714286, 15.5915178571429, 23.5825892857143, 24.6763392857143, 25.9263392857143, 19.6540178571429, 16.5959821428571, 28.3482142857143, 21.5290178571428, 27.1540178571429, 26.40625, 22.2209821428571, 21.7410714285714, 24.6205357142857, 25.3013392857143, 24.4642857142857, 22.8013392857143, 21.1160714285714, 21.9419642857143, 24.5535714285714, 25.46875, 22.03125, 34.6540178571428, 28.5044642857143, 24.5982142857143, 24.9665178571429, 20.859375, 24.3638392857143, 17.3883928571429, 25.9709821428571, 23.4040178571429, 25.6473214285715, 21.9419642857143, 24.3191964285714, 27.3325892857143, 25.078125, 27.0982142857143, 32.6450892857143, 32.9241071428572, 34.7767857142857, 18.9620535714286, 27.8683035714286
 Dxgxa, 0, 0, 0, 25.2120535714286, 23.5491071428571, 24.5089285714286, 20.6138392857143, 34.3526785714286, 22.8683035714286, 23.7276785714286, 26.5290178571429, 32.4888392857143, 29.3861607142857, 25.2232142857143, 38.4933035714286, 27.3995535714286, 27.0424107142857, 20.15625, 24.3303571428571, 29.6428571428571, 24.140625, 22.7790178571429, 20.4241071428571, 26.4174107142857, 32.4107142857143, 27.9464285714286, 27.3772321428571, 31.7410714285714, 27.8683035714286, 30.5580357142857, 23.9955357142857, 28.1026785714286, 23.5379464285714, 29.6428571428571, 24.8214285714286, 28.8169642857143, 39.1964285714286, 25.9598214285714, 23.9397321428571, 23.2366071428571, 18.3258928571429, 29.3861607142857, 19.5870535714286, 26.0602678571429, 26.6964285714286, 33.4151785714286, 21.1383928571429, 26.0491071428571, 29.9888392857143, 24.3526785714286, 33.8727678571429, 24.0959821428571, 18.2700892857143, 29.6540178571429, 22.8571428571429
 Fuxtax, 0, 0, 0, 0, 22.3549107142857, 18.3147321428571, 23.4598214285714, 25.0558035714286, 20.703125, 26.7299107142857, 24.5424107142857, 24.9888392857143, 26.7745535714286, 31.6852678571429, 33.4375, 25.0223214285714, 28.6272321428571, 29.765625, 34.7209821428572, 28.3147321428571, 21.3616071428571, 23.4263392857143, 25.078125, 33.2366071428571, 29.2633928571429, 25.3459821428571, 23.359375, 22.8013392857143, 29.7879464285714, 22.1540178571429, 24.6540178571429, 21.953125, 28.75, 26.953125, 27.8683035714286, 27.5892857142857, 29.6316964285714, 22.3549107142857, 21.9084821428571, 23.2589285714286, 30.6473214285714, 16.6629464285714, 25.9375, 17.8348214285714, 27.4441964285714, 25.3571428571429, 21.953125, 31.5401785714286, 27.1763392857143, 16.6741071428571, 26.953125, 24.5424107142857, 27.1763392857143, 24.2410714285714, 27.0535714285714
 Gfpumc, 0, 0, 0, 0, 0, 25.7254464285714, 34.5089285714286, 18.671875, 34.2857142857143, 35.4241071428571, 29.3861607142857, 32.9464285714286, 23.90625, 31.875, 28.6160714285714, 24.6540178571429, 27.8459821428571, 23.4709821428571, 30.1674107142857, 27.0535714285714, 33.1919642857143, 29.3303571428571, 26.5401785714286, 25.2455357142857, 28.8392857142857, 27.109375, 24.9888392857143, 26.7857142857143, 26.6741071428571, 28.0133928571429, 24.3415178571429, 28.671875, 21.3839285714286, 29.1071428571429, 27.4553571428571, 25.5580357142857, 29.5535714285714, 28.9285714285714, 32.109375, 32.6116071428571, 24.1183035714286, 28.5602678571429, 25.6696428571429, 23.8169642857143, 19.5758928571429, 27.2544642857143, 28.046875, 35.3794642857143, 26.0714285714286, 16.7745535714286, 21.6294642857143, 21.1607142857143, 25.7700892857143, 32.3995535714286, 26.6294642857143
 Jhhm, 0, 0, 0, 0, 0, 0, 22.9910714285714, 29.375, 26.3839285714286, 28.3147321428571, 25.7366071428571, 21.8080357142857, 27.6785714285714, 22.5, 21.9084821428571, 22.5892857142857, 23.7165178571429, 20.9709821428571, 28.3147321428571, 21.6294642857143, 20.7254464285714, 32.890625, 20.1227678571429, 23.9955357142857, 17.0758928571429, 25.2901785714286, 28.046875, 25.1227678571429, 26.015625, 26.6071428571429, 23.2924107142857, 29.6316964285714, 28.1808035714286, 24.9107142857143, 24.3415178571428, 18.1919642857143, 25.1227678571429, 19.4196428571429, 23.4933035714286, 19.3526785714286, 23.3147321428571, 24.0513392857143, 24.3973214285714, 18.9397321428572, 23.59375, 25.4352678571429, 23.4821428571429, 21.7745535714286, 19.6540178571429, 18.8392857142857, 24.7209821428571, 26.796875, 23.8950892857143, 23.6272321428571, 27.7790178571429
 Jpow, 0, 0, 0, 0, 0, 0, 0, 27.3325892857143, 36.7745535714286, 30.4017857142857, 30.4129464285714, 30.46875, 28.5379464285714, 25.8928571428571, 21.2611607142857, 19.1183035714286, 21.2723214285714, 24.5089285714286, 31.9754464285714, 20.5580357142857, 40.1450892857143, 23.9508928571429, 33.9397321428572, 39.1294642857143, 15.1450892857143, 29.8214285714286, 25.9375, 30.8147321428571, 27.2209821428571, 24.8772321428571, 29.5982142857143, 30.5022321428571, 29.375, 25.546875, 25.8370535714286, 23.0803571428571, 22.96875, 30.1897321428571, 29.296875, 25.9263392857143, 20.6584821428571, 32.6004464285714, 36.6517857142857, 30.9709821428571, 32.7120535714286, 24.1071428571429, 26.5513392857143, 20.3125, 20.2678571428571, 29.4754464285714, 29.4754464285714, 31.6629464285714, 23.203125, 42.5669642857143, 23.4263392857143
 Kcax, 0, 0, 0, 0, 0, 0, 0, 0, 27.5892857142857, 31.8303571428571, 18.0691964285714, 22.1316964285714, 25.4241071428571, 24.4419642857143, 20.3794642857143, 26.640625, 25.625, 25.8482142857143, 23.7276785714286, 27.2991071428571, 31.2053571428571, 27.8683035714286, 26.2053571428571, 36.3839285714286, 21.5625, 29.2299107142857, 32.4107142857143, 26.1383928571429, 27.4665178571429, 28.5714285714285, 25.078125, 33.6272321428572, 29.3973214285714, 24.6205357142857, 33.3258928571429, 26.8415178571429, 32.8348214285714, 26.71875, 23.5491071428571, 26.5401785714286, 22.1651785714286, 25.3013392857143, 30, 26.7857142857143, 24.3973214285714, 21.25, 25.4464285714286, 27.5558035714286, 31.3839285714286, 24.140625, 26.8861607142857, 27.34375, 26.0714285714286, 32.2767857142857, 35.1785714285714
 Kdkf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39.6540178571429, 21.8638392857143, 18.4375, 23.8839285714286, 25.7924107142857, 25.859375, 31.40625, 27.1651785714286, 13.9174107142857, 23.9397321428571, 28.0803571428572, 35.0558035714286, 18.9732142857143, 25.6584821428571, 27.2767857142857, 30.2455357142857, 34.3080357142857, 25.078125, 26.9866071428571, 28.2254464285714, 22.3102678571429, 20.4017857142857, 30.9821428571429, 23.3928571428571, 29.5647321428571, 27.5892857142857, 21.9754464285714, 28.6941964285714, 32.2767857142857, 26.3058035714286, 20.6026785714286, 24.3861607142857, 29.4084821428571, 17.4553571428571, 22.7901785714286, 24.1629464285714, 33.2366071428571, 31.5959821428571, 34.7321428571429, 27.2209821428571, 20.9040178571429, 25.3683035714286, 20.7254464285714, 22.0647321428571, 27.7790178571429, 27.2433035714286
 Knrjuc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.2053571428571, 31.7522321428571, 29.7321428571429, 19.3080357142857, 24.8325892857143, 28.0803571428571, 28.5714285714286, 25.9709821428571, 22.1540178571429, 22.2321428571429, 33.0803571428572, 29.1852678571429, 31.3839285714286, 28.28125, 24.3861607142857, 32.421875, 35.6919642857143, 21.8080357142857, 24.2410714285714, 26.1049107142857, 28.3258928571429, 25.9263392857143, 25.4799107142857, 30.2790178571429, 38.3035714285714, 20.2901785714286, 26.953125, 25.4799107142857, 27.5446428571429, 32.3772321428571, 28.8616071428571, 29.7433035714286, 28.8616071428571, 27.8125, 25.3571428571429, 33.7053571428572, 34.6316964285714, 34.7991071428571, 24.1964285714286, 22.0982142857143, 26.6629464285714, 27.8794642857143, 24.1741071428571, 20.3794642857143, 31.25
 Kskwi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.0133928571428, 22.9799107142857, 29.2299107142857, 26.9308035714286, 28.6383928571429, 23.1584821428571, 25.4575892857143, 28.3035714285714, 27.2767857142857, 26.8303571428571, 28.828125, 20.7477678571429, 35.0558035714286, 21.8526785714286, 32.5, 36.3839285714286, 35, 23.0915178571429, 27.8683035714286, 18.4933035714286, 26.2946428571429, 29.4642857142857, 21.2611607142857, 27.5669642857143, 23.0691964285714, 26.6964285714286, 27.0535714285714, 22.7901785714286, 28.8727678571429, 20.4129464285714, 21.7522321428571, 23.2366071428572, 22.2767857142857, 29.53125, 37.8571428571429, 23.2142857142857, 33.28125, 31.2165178571428, 25.2455357142857, 39.5870535714286, 32.1651785714286, 26.6183035714286, 27.109375, 18.4709821428571
 Kxxe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.8102678571429, 25.1339285714286, 26.4508928571429, 26.640625, 24.4642857142857, 28.4486607142857, 25.7366071428571, 21.2165178571429, 26.7745535714286, 29.5982142857143, 25.6026785714286, 29.1183035714286, 21.4955357142857, 21.5736607142857, 20.8147321428572, 28.4040178571429, 27.8013392857143, 32.0200892857143, 21.3616071428571, 25.9040178571429, 22.2879464285714, 30.8147321428571, 26.0491071428571, 30.2232142857143, 16.5625, 18.7388392857143, 29.6875, 30.9151785714286, 24.5870535714286, 22.7232142857143, 25.7924107142857, 29.5982142857143, 23.125, 18.90625, 27.0647321428571, 33.7834821428571, 25.8258928571429, 23.7053571428571, 25.703125, 37.421875, 28.1026785714286, 30.2120535714286, 34.8214285714286
 Lwuzf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.6361607142857, 28.8169642857143, 32.421875, 20.5133928571429, 24.0290178571428, 29.9330357142857, 24.5982142857143, 32.8236607142857, 23.5825892857143, 28.3370535714286, 25.3236607142857, 30.7254464285714, 24.5870535714286, 32.2321428571429, 34.0513392857143, 27.8348214285714, 25.8035714285714, 29.7098214285714, 26.8861607142857, 37.1651785714286, 30.5691964285714, 22.2879464285714, 34.2522321428571, 16.9642857142857, 27.4330357142857, 23.8616071428572, 29.9441964285714, 26.0267857142857, 29.7098214285714, 28.1026785714286, 25.15625, 24.7321428571429, 35.9375, 28.7053571428571, 20.8258928571429, 22.1763392857143, 26.5848214285714, 32.2209821428571, 32.8794642857143, 37.7901785714286, 33.6607142857143, 28.9285714285714
 Mvki, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.7745535714286, 25.5580357142857, 20.4129464285714, 25.9598214285714, 34.140625, 23.9174107142857, 26.6071428571428, 23.1696428571429, 27.9910714285714, 25.8258928571429, 22.7901785714286, 23.5491071428571, 29.1964285714286, 25.1227678571429, 24.0625, 27.3214285714286, 24.4308035714286, 23.125, 25.46875, 21.1941964285714, 19.9330357142857, 29.5424107142857, 26.6629464285714, 19.0736607142857, 22.5, 16.71875, 20.9151785714286, 24.2410714285714, 31.8638392857143, 32.65625, 32.4665178571429, 19.921875, 15.1227678571429, 31.1160714285714, 37.9352678571428, 19.765625, 19.9665178571429, 27.5334821428571, 27.6227678571429, 23.4933035714286, 31.4285714285714
 Nepk, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.8571428571429, 16.5959821428571, 18.8169642857143, 28.5044642857143, 22.3660714285714, 25.5357142857143, 24.7767857142857, 22.1316964285714, 27.8236607142857, 25.1785714285714, 21.4397321428571, 28.3928571428571, 21.8973214285714, 22.0870535714286, 25.9263392857143, 29.2075892857143, 29.8995535714286, 23.4709821428571, 24.9665178571429, 18.2254464285714, 19.6875, 25.703125, 20.2455357142857, 28.1696428571429, 23.1584821428571, 22.8571428571429, 22.5669642857143, 20.625, 30.2678571428571, 28.2142857142857, 29.1294642857143, 21.1383928571429, 21.7299107142857, 25.46875, 17.2767857142857, 24.3415178571429, 25.7700892857143, 20.7589285714286, 25.5022321428571, 33.3705357142857
 Pdds, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.0133928571428, 27.3995535714286, 21.6629464285714, 28.046875, 27.5, 28.1361607142857, 25.859375, 35.0223214285714, 23.3147321428571, 25.9933035714286, 28.2142857142857, 28.8058035714286, 33.6049107142857, 23.828125, 26.171875, 26.5513392857143, 26.484375, 25.6808035714286, 23.9285714285714, 32.34375, 28.5491071428571, 28.3035714285714, 27.7566964285714, 24.6205357142857, 26.8973214285714, 24.0848214285714, 24.3861607142857, 30.1785714285714, 30.390625, 30.4910714285714, 34.1964285714286, 31.8080357142857, 27.0535714285714, 26.2053571428571, 33.2142857142857, 23.9732142857143, 28.0022321428571, 26.5178571428571, 43.125
 Pndyf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.2299107142857, 26.1272321428571, 29.2633928571429, 26.2276785714286, 20.390625, 26.1160714285714, 23.2254464285714, 26.7633928571429, 29.296875, 18.0915178571429, 31.4397321428571, 41.3727678571429, 20.6361607142857, 25.5691964285714, 30.4799107142857, 30.4799107142857, 29.2299107142857, 29.8995535714286, 30.390625, 32.2433035714286, 30.2120535714286, 26.3839285714286, 33.1138392857143, 25.4575892857143, 24.3303571428571, 22.34375, 23.1808035714286, 28.6383928571429, 35.8705357142857, 32.1875, 22.6674107142857, 24.3080357142857, 23.2924107142857, 22.4107142857143, 22.5558035714286, 22.6785714285714, 26.9642857142857, 19.765625
 Qiqzn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.9620535714286, 24.140625, 21.484375, 24.53125, 28.6607142857143, 30.9375, 19.453125, 20.9040178571429, 17.03125, 21.3950892857143, 33.0357142857143, 29.6986607142857, 30.9040178571429, 20.2455357142857, 22.2879464285714, 25.5803571428571, 23.0580357142857, 21.3950892857143, 28.0133928571429, 16.7410714285714, 22.0870535714286, 33.4598214285714, 24.2299107142857, 23.3482142857143, 25.2566964285714, 18.0357142857143, 19.1964285714286, 19.3303571428571, 23.3705357142857, 22.6116071428571, 25.3683035714286, 23.2589285714286, 18.59375, 25.5803571428571, 20.0892857142857, 25.6696428571429, 18.75
